Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,PoolQC,SaleType,SaleCondition,SalePrice,month+year,totalbath,Totalsqft,Age,YearsSinceRemodel,IsNewHouse
324,20,RM,5820,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,8,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,256,Unf,0,906,GasA,Ex,Y,SBrkr,1163,TA,6,Typ,0,Attchd,1955.0,Unf,1,220,Fa,TA,Y,142,98,,WD,Normal,126175,7.2006,2.0,2325.0,51,1,False
325,80,RL,11275,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,PosN,Norm,1Fam,SLvl,7,7,Mansard,WdShake,Wd Sdng,Wd Sdng,300.0,Gd,Gd,CBlock,Gd,TA,No,Unf,0,Unf,0,710,GasA,Ex,Y,SBrkr,2978,Gd,11,Typ,1,BuiltIn,1961.0,Fin,2,564,TA,TA,Y,240,0,,WD,Normal,242000,6.2010,2.5,3688.0,43,3,False
326,45,RM,5000,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,RRAe,Norm,1Fam,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,116,Unf,0,604,GasA,Po,N,FuseF,803,TA,5,Typ,0,Detchd,1941.0,Unf,2,360,TA,TA,Y,0,0,,WD,Normal,87000,12.2007,1.0,1523.0,66,57,False
327,120,RL,10846,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,BrkFace,BrkFace,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1619,Unf,0,100,GasA,Ex,Y,SBrkr,1719,Gd,6,Typ,2,Attchd,1993.0,Fin,2,473,TA,TA,Y,122,30,,Con,Normal,324000,5.2008,3.5,3438.0,15,15,False
328,20,RL,11600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,Wd Sdng,Wd Sdng,175.0,TA,TA,CBlock,TA,TA,No,Rec,565,Unf,0,818,GasA,TA,Y,SBrkr,1383,TA,7,Typ,0,Attchd,1960.0,RFn,1,292,TA,TA,Y,0,45,,WD,Normal,145250,4.2006,1.5,2766.0,46,46,False
329,75,RL,11888,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,Gable,CompShg,Wd Sdng,Wd Shng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,844,GasA,Gd,N,FuseA,2134,Gd,10,Typ,0,Detchd,1930.0,Unf,2,441,TA,TA,Y,0,60,,WD,Normal,214500,7.2009,2.0,2978.0,93,15,False
330,70,RM,6402,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,Wd Sdng,Wd Shng,0.0,TA,TA,PConc,TA,TA,Mn,Unf,0,Unf,0,596,GasA,TA,N,SBrkr,1192,TA,6,Typ,0,Detchd,1920.0,Unf,1,189,Fa,Fa,N,0,0,,WD,Normal,78000,7.2009,1.0,1788.0,89,59,False
331,90,RL,10624,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,4,Gable,CompShg,HdBoard,HdBoard,84.0,TA,TA,CBlock,TA,TA,No,GLQ,40,Rec,264,1424,GasA,TA,Y,SBrkr,1728,TA,10,Typ,0,Detchd,2002.0,Unf,1,352,TA,TA,Y,155,0,,WD,Normal,119000,11.2007,2.6,3456.0,43,43,False
332,20,RL,8176,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,Rec,846,Unf,0,210,GasA,Fa,Y,SBrkr,1056,TA,6,Typ,0,Attchd,1958.0,RFn,1,308,TA,TA,Y,0,0,,WD,Normal,139000,8.2007,2.0,2112.0,49,15,False
333,20,RL,10655,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,296.0,Gd,TA,PConc,Gd,TA,No,GLQ,1124,,479,1603,GasA,Ex,Y,SBrkr,1629,Gd,7,Typ,1,Attchd,2003.0,RFn,3,880,TA,TA,Y,0,0,,WD,Normal,284000,10.2009,3.0,4835.0,6,5,False
334,120,RM,8198,Pave,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,146.0,Gd,TA,PConc,Gd,TA,Av,GLQ,720,Unf,0,638,GasA,Ex,Y,SBrkr,1358,Gd,6,Typ,1,Attchd,2004.0,RFn,2,484,TA,TA,Y,192,30,,WD,Normal,207000,7.2008,3.0,2716.0,4,4,True
335,60,RL,9042,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,828,Unf,0,115,GasA,Gd,Y,SBrkr,1638,TA,7,Typ,2,Attchd,1998.0,Fin,2,472,TA,TA,Y,100,38,,WD,Normal,192000,7.2008,3.5,2581.0,10,10,False
336,190,RL,164660,Grvl,IR1,HLS,AllPub,Corner,Sev,Timber,Norm,Norm,2fmCon,1.5Fin,5,6,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,1249,BLQ,147,103,GasA,Ex,Y,SBrkr,1786,TA,7,Typ,2,Attchd,1965.0,Fin,2,529,TA,TA,Y,670,0,,WD,Normal,228950,8.2008,4.0,3285.0,43,43,False
337,20,RL,14157,Pave,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,200.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1249,Unf,0,673,GasA,Ex,Y,SBrkr,1922,Gd,8,Typ,1,Attchd,2005.0,Fin,3,676,TA,TA,Y,178,51,,WD,Normal,377426,7.2007,3.0,3844.0,2,1,True
338,20,RL,9135,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810,Unf,0,726,GasA,Ex,Y,SBrkr,1536,Gd,7,Typ,0,Attchd,2002.0,RFn,2,532,TA,TA,Y,192,74,,WD,Normal,214000,12.2008,3.0,3072.0,6,5,False
339,20,RL,14145,Pave,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,Gd,TA,CBlock,Gd,TA,Mn,ALQ,213,Unf,0,995,GasA,Ex,Y,SBrkr,1621,Gd,8,Typ,0,Attchd,1984.0,RFn,2,440,TA,TA,Y,108,45,,WD,Normal,202500,5.2006,3.0,2829.0,22,8,False
340,20,RL,12400,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,7,Hip,CompShg,Wd Sdng,Wd Sdng,176.0,TA,TA,CBlock,TA,Fa,No,Rec,585,Unf,0,630,GasA,TA,Y,FuseA,1215,TA,6,Typ,0,Attchd,1958.0,Unf,1,297,TA,TA,Y,0,0,,WD,Normal,155000,6.2009,1.0,2430.0,51,11,False
341,60,RL,14191,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,967,GasA,Ex,Y,SBrkr,1908,Gd,9,Typ,0,Attchd,2002.0,Fin,2,431,TA,TA,Y,135,0,,WD,Normal,202900,4.2010,2.5,2875.0,8,8,False
342,20,RH,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,Gable,CompShg,Wd Sdng,AsbShng,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,721,GasA,Gd,Y,SBrkr,841,TA,4,Typ,0,CarPort,1950.0,Unf,1,294,TA,TA,N,250,0,,WD,Normal,82000,9.2009,1.0,1562.0,59,59,False
343,90,RL,8544,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,Gable,CompShg,Stucco,Stucco,340.0,TA,TA,Slab,,,,,0,,0,0,Wall,Fa,N,FuseA,1040,TA,6,Typ,0,Detchd,1949.0,Unf,2,400,TA,TA,Y,0,0,,WD,Normal,87500,5.2006,2.0,1040.0,57,56,False
344,120,RL,8849,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,616.0,Ex,TA,PConc,Ex,TA,No,GLQ,28,Unf,0,1656,GasA,Ex,Y,SBrkr,1684,Ex,6,Typ,1,Attchd,2005.0,RFn,2,564,TA,TA,Y,495,72,,WD,Normal,266000,7.2008,2.0,3368.0,3,3,True
345,160,RM,2592,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,3,Gable,CompShg,CemntBd,CmentBd,0.0,TA,TA,CBlock,Gd,TA,No,Rec,129,BLQ,232,175,GasA,TA,Y,SBrkr,1112,TA,4,Typ,0,Attchd,1976.0,Unf,1,336,TA,TA,Y,182,0,,WD,Normal,85000,4.2010,1.5,1648.0,34,34,False
346,50,RL,6435,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,6,5,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,972,GasA,Gd,Y,SBrkr,1577,Fa,6,Typ,1,Detchd,1939.0,Unf,1,312,TA,TA,Y,0,0,,WD,Normal,140200,10.2006,1.0,2549.0,67,56,False
347,20,RL,12772,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,Hip,CompShg,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,Mn,BLQ,498,Unf,0,460,GasA,TA,Y,SBrkr,958,TA,5,Typ,0,Attchd,1960.0,RFn,1,301,TA,TA,Y,0,0,,WD,Normal,151500,4.2007,1.0,1916.0,47,9,False
348,20,RL,17600,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,30.0,TA,TA,CBlock,TA,TA,No,BLQ,1270,Unf,0,208,GasA,Ex,Y,FuseA,1478,TA,6,Typ,2,Attchd,1960.0,Unf,2,498,TA,TA,Y,0,40,,WD,Normal,157500,12.2009,3.0,2956.0,49,49,False
349,160,RL,2448,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,Wd Shng,106.0,Gd,TA,PConc,Gd,TA,No,GLQ,573,Unf,0,191,GasA,Ex,Y,SBrkr,1626,Gd,6,Typ,0,BuiltIn,2003.0,RFn,2,474,TA,TA,Y,0,27,,WD,Normal,154000,10.2008,3.5,2390.0,5,4,True
350,60,RL,20431,Pave,IR2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,CemntBd,CmentBd,870.0,Ex,TA,PConc,Ex,TA,No,GLQ,1410,Unf,0,438,GasA,Ex,Y,SBrkr,2728,Ex,10,Typ,2,Attchd,2006.0,Fin,3,706,TA,TA,Y,0,0,,New,Partial,437154,4.2006,3.5,4576.0,1,0,True
351,120,RL,7820,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,362.0,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1869,GasA,Ex,Y,SBrkr,1869,Ex,6,Typ,1,Attchd,2007.0,RFn,2,617,TA,TA,Y,210,54,,New,Partial,318061,12.2007,2.0,3738.0,0,0,True
352,120,RL,5271,Pave,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,1082,Unf,0,371,GasA,Gd,Y,SBrkr,1453,Gd,6,Typ,1,Attchd,1986.0,RFn,2,445,TA,TA,Y,0,80,,WD,Abnorml,190000,12.2006,2.5,2906.0,20,20,False
353,50,RL,9084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,Fa,Mn,LwQ,236,Rec,380,0,GasA,TA,N,SBrkr,1111,TA,5,Typ,0,Detchd,1941.0,Unf,1,200,TA,Fa,Y,48,0,,ConLw,Normal,95000,3.2008,1.6,1727.0,67,58,False
354,30,RM,8520,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,624,GasA,Gd,Y,SBrkr,720,TA,5,Typ,0,Detchd,2005.0,Unf,2,484,TA,TA,Y,106,0,,WD,Normal,105900,5.2010,1.0,1344.0,82,7,False
355,50,RL,8400,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,Gable,CompShg,Wd Sdng,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,LwQ,388,Unf,0,552,GasA,Ex,Y,SBrkr,1595,TA,6,Typ,2,Attchd,1940.0,Unf,1,240,TA,TA,Y,0,0,,WD,Normal,140000,6.2006,1.0,2535.0,66,6,False
356,20,RL,11249,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,334,BLQ,544,322,GasA,Ex,Y,SBrkr,1200,Gd,6,Typ,0,Attchd,1995.0,RFn,2,521,TA,TA,Y,0,26,,WD,Normal,177500,8.2007,3.0,2400.0,12,12,False
357,20,RL,9248,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,HdBoard,HdBoard,106.0,TA,TA,PConc,Gd,TA,No,GLQ,560,Unf,0,598,GasA,Gd,Y,SBrkr,1167,Gd,6,Typ,0,Attchd,1992.0,RFn,2,400,TA,TA,Y,120,26,,WD,Normal,173000,7.2009,3.0,2325.0,17,17,False
358,120,RM,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,5,Gable,CompShg,CemntBd,CmentBd,0.0,TA,TA,PConc,Gd,TA,No,ALQ,874,Unf,0,268,GasA,TA,Y,SBrkr,1142,TA,6,Typ,1,Attchd,1976.0,Fin,2,528,TA,TA,Y,536,90,,WD,Normal,134000,8.2007,2.5,2284.0,31,31,False
359,80,RL,6930,Pave,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,5,4,Hip,CompShg,Wd Sdng,ImStucc,120.0,TA,TA,CBlock,TA,TA,Av,BLQ,300,Rec,294,468,GasA,Ex,Y,FuseF,1352,Gd,6,Min2,0,BuiltIn,1958.0,Unf,1,288,TA,TA,Y,168,0,,WD,Abnorml,130000,7.2006,1.6,2414.0,48,48,False
360,60,RL,12011,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,530.0,Gd,TA,PConc,Gd,TA,Av,GLQ,956,Unf,0,130,GasA,Ex,Y,SBrkr,1924,Gd,7,Typ,1,Attchd,1998.0,RFn,2,592,TA,TA,Y,208,75,,WD,Normal,280000,6.2006,3.5,3010.0,8,8,False
361,85,RL,7540,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,6,6,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,773,Unf,0,115,GasA,Ex,Y,SBrkr,912,TA,5,Typ,1,Attchd,1978.0,RFn,2,470,TA,TA,Y,0,0,,WD,Normal,156000,6.2007,2.0,1800.0,29,29,False
362,50,RL,9144,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Rec,399,Unf,0,484,GasA,Gd,Y,SBrkr,1505,TA,8,Typ,0,Detchd,1940.0,Unf,1,240,TA,TA,N,0,0,,WD,Normal,145000,7.2008,2.0,2388.0,68,26,False
363,85,RL,7301,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,Gable,CompShg,HdBoard,HdBoard,500.0,Gd,TA,Slab,,,,,0,,0,0,GasA,Ex,Y,SBrkr,1922,Gd,7,Typ,1,BuiltIn,2003.0,RFn,2,672,TA,TA,Y,0,0,,ConLD,Normal,198500,7.2009,3.0,1922.0,6,6,False
364,160,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,8,Gable,CompShg,HdBoard,HdBoard,510.0,TA,TA,CBlock,TA,TA,No,ALQ,162,Unf,0,321,GasA,Gd,Y,SBrkr,987,Gd,5,Typ,0,Detchd,1972.0,Unf,1,264,TA,TA,Y,250,0,,WD,Normal,118000,5.2009,1.5,1470.0,37,2,False
365,60,RL,18800,Pave,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,120.0,TA,TA,PConc,Gd,TA,Mn,GLQ,712,Unf,0,84,GasA,TA,Y,SBrkr,1574,TA,6,Typ,1,Attchd,1976.0,Fin,2,566,TA,TA,Y,306,111,,WD,Normal,190000,7.2006,3.5,2370.0,30,30,False
366,70,RM,10690,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,7,Hip,CompShg,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,Fa,No,Rec,456,Unf,0,216,GasA,Gd,Y,FuseA,1344,TA,6,Typ,0,Detchd,1964.0,Unf,1,468,TA,Fa,Y,0,128,,WD,Normal,147000,7.2009,1.0,2016.0,89,12,False
367,20,RL,9500,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609,Unf,0,785,GasA,Gd,Y,SBrkr,1394,TA,6,Typ,2,Attchd,1963.0,RFn,2,514,TA,TA,Y,0,76,,WD,Normal,159000,7.2009,2.5,2788.0,46,46,False
368,80,RL,9150,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,Gable,Tar&Grv,Plywood,Plywood,305.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,371,Unf,0,728,GasA,Gd,Y,SBrkr,1431,TA,6,Typ,1,Basment,1962.0,RFn,1,296,TA,TA,Y,64,110,,WD,Normal,165000,12.2008,1.6,2530.0,46,46,False
369,20,RL,7800,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,200.0,TA,TA,PConc,TA,TA,No,LwQ,540,Unf,0,728,GasA,Gd,Y,SBrkr,1268,TA,7,Typ,1,Attchd,1954.0,Fin,1,244,TA,TA,Y,0,98,,WD,Normal,132000,3.2010,1.0,2536.0,56,56,False
370,20,RL,9830,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,72,Rec,258,733,GasA,Ex,Y,SBrkr,1287,Gd,7,Typ,1,Detchd,1997.0,Fin,2,576,TA,TA,Y,364,17,,WD,Normal,162000,3.2010,2.0,2350.0,51,4,False
371,60,RL,8121,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,953,GasA,Ex,Y,SBrkr,1664,TA,7,Typ,1,Attchd,2000.0,RFn,2,460,TA,TA,Y,100,40,,WD,Normal,172400,1.2006,2.5,2617.0,6,6,False
372,50,RL,17120,Pave,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,4,Gable,CompShg,WdShing,Plywood,0.0,TA,TA,CBlock,,,,,0,,0,0,GasA,TA,Y,SBrkr,1588,TA,7,Min2,1,Detchd,1991.0,Fin,2,680,TA,TA,N,0,59,,WD,Normal,134432,7.2008,2.0,1588.0,49,49,False
373,120,RL,7175,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,623,LwQ,121,0,GasA,TA,Y,SBrkr,752,TA,4,Typ,0,Attchd,1984.0,Unf,1,264,TA,TA,Y,353,0,,WD,Normal,125000,2.2010,2.0,1496.0,26,26,False
374,20,RL,10634,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,PConc,TA,TA,No,BLQ,428,LwQ,180,0,GasA,TA,Y,SBrkr,1319,TA,5,Min2,0,Attchd,1953.0,Unf,1,270,TA,TA,Y,66,0,,WD,Normal,123000,11.2009,2.0,1927.0,56,56,False
375,60,RL,8200,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,847,GasA,Ex,Y,SBrkr,1928,Gd,8,Typ,1,BuiltIn,2003.0,Fin,2,434,TA,TA,Y,100,48,,WD,Normal,219500,7.2007,2.5,2775.0,4,3,True
376,30,RL,10020,Pave,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,350,Unf,0,333,GasA,Gd,N,FuseA,904,Fa,4,Maj1,0,,,,0,0,,,Y,0,0,,WD,Normal,61000,3.2009,1.5,1587.0,87,59,False
377,85,RL,8846,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,298,Unf,0,572,GasA,Ex,Y,SBrkr,914,TA,5,Typ,0,Detchd,1998.0,Unf,2,576,TA,TA,Y,0,0,,WD,Normal,148000,7.2006,1.0,1784.0,10,10,False
378,60,FV,11143,Pave,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1580,GasA,Ex,Y,SBrkr,2466,Gd,8,Typ,1,Attchd,2004.0,RFn,2,610,TA,TA,Y,159,214,,WD,Normal,340000,12.2007,3.0,4046.0,3,2,True
379,20,RL,11394,Pave,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,Hip,CompShg,VinylSd,VinylSd,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1445,Unf,0,411,GasA,Ex,Y,SBrkr,1856,Ex,8,Typ,1,Attchd,2010.0,Fin,3,834,TA,TA,Y,113,0,,New,Partial,394432,6.2010,2.5,3712.0,0,0,True
380,60,RL,8123,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,16.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,982,GasA,Ex,Y,SBrkr,1800,TA,7,Typ,1,Attchd,2000.0,Fin,2,463,TA,TA,Y,100,63,,WD,Normal,179000,6.2009,2.5,2782.0,9,9,False
381,50,RL,5000,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,BrkFace,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,218,Unf,0,808,GasA,TA,Y,SBrkr,1691,Gd,6,Typ,1,Detchd,1924.0,Unf,1,308,TA,TA,Y,0,0,,WD,Normal,127000,5.2010,2.0,2717.0,86,60,False
382,20,FV,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,Gd,No,Unf,0,Unf,0,1293,GasA,Ex,Y,SBrkr,1301,Gd,5,Typ,1,Attchd,2006.0,RFn,2,572,TA,TA,Y,216,121,,New,Partial,187750,8.2006,3.0,2594.0,0,0,True
383,60,RL,9245,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,939,GasA,Ex,Y,SBrkr,1797,Gd,8,Typ,0,Attchd,2006.0,RFn,2,639,TA,TA,Y,144,53,,WD,Normal,213500,4.2007,2.5,2736.0,1,1,True
384,45,RH,9000,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,Fa,Fa,No,Unf,0,Unf,0,784,GasA,TA,N,FuseA,784,TA,5,Typ,0,Detchd,1950.0,Unf,2,360,Fa,Fa,N,0,0,,WD,Normal,76000,10.2009,1.0,1568.0,81,59,False
385,60,RL,53107,Pave,IR2,Low,AllPub,Corner,Mod,ClearCr,Feedr,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,985,Unf,0,595,GasA,Ex,Y,SBrkr,1953,Gd,9,Typ,2,Attchd,1992.0,Fin,2,501,TA,TA,Y,216,231,,WD,Normal,240000,6.2007,3.5,3533.0,15,15,False
